epoch,anomaly_accuracy,anomaly_loss,class_accuracy,class_loss,learning_rate,loss,val_anomaly_accuracy,val_anomaly_loss,val_class_accuracy,val_class_loss,val_loss
0,0.8624770045280457,0.35676810145378113,0.39652904868125916,2.2500991821289062,0.0005000000237487257,2.8714778423309326,1.0,0.2690337598323822,0.16075649857521057,3.0906574726104736,3.5791046619415283
1,0.9897449612617493,0.08884469419717789,0.7867472767829895,1.0385171175003052,0.0005000000237487257,1.3738373517990112,1.0,0.07657487690448761,0.18912529945373535,3.1367099285125732,3.3727867603302
2,0.9986852407455444,0.040744658559560776,0.8795687556266785,0.70846027135849,0.0005000000237487257,0.9856725931167603,1.0,0.03343873471021652,0.304964542388916,2.7558341026306152,2.91986346244812
3,0.9994741082191467,0.024959199130535126,0.9037601947784424,0.5659897923469543,0.0005000000237487257,0.8300290703773499,1.0,0.016815168783068657,0.5602836608886719,1.62583327293396,1.729752540588379
4,1.0,0.016115767881274223,0.9237444400787354,0.4761781394481659,0.0005000000237487257,0.7274375557899475,1.0,0.012420997954905033,0.41843971610069275,1.786637306213379,1.8808752298355103
5,1.0,0.011530936695635319,0.931632936000824,0.4342847168445587,0.0005000000237487257,0.6766607761383057,1.0,0.005246142856776714,0.9550827145576477,0.5422051548957825,0.546495258808136
6,1.0,0.008826350793242455,0.942676842212677,0.3843167722225189,0.0005000000237487257,0.6167091131210327,1.0,0.00661629531532526,0.936170220375061,0.5382550954818726,0.5691093802452087
7,1.0,0.007487250026315451,0.9495135545730591,0.33475884795188904,0.0005000000237487257,0.5623182058334351,1.0,0.006441441830247641,0.5460993051528931,1.8984593152999878,1.9551647901535034
8,1.0,0.0057339416816830635,0.947147011756897,0.33791300654411316,0.0005000000237487257,0.5562677979469299,1.0,0.004283650312572718,0.7919621467590332,1.097475290298462,1.0911778211593628
9,1.0,0.004580860957503319,0.953457772731781,0.29571598768234253,0.0005000000237487257,0.5083712339401245,1.0,0.0026555422227829695,0.8699763417243958,0.6780754327774048,0.6805965304374695
10,1.0,0.004448607098311186,0.9566131830215454,0.27704325318336487,0.0005000000237487257,0.48497799038887024,1.0,0.0024769555311650038,0.7186761498451233,1.3072484731674194,1.366289734840393
11,1.0,0.003686596406623721,0.9521430730819702,0.2789361774921417,0.0005000000237487257,0.4795905351638794,1.0,0.00227504619397223,0.7352246046066284,1.3383760452270508,1.3924585580825806
12,1.0,0.0031757084652781487,0.9508283138275146,0.27628326416015625,0.0005000000237487257,0.4713071286678314,1.0,0.001876881462521851,0.8912529349327087,0.5918880701065063,0.6017964482307434
13,1.0,0.002688189037144184,0.9597685933113098,0.22830316424369812,0.0002500000118743628,0.4221026301383972,1.0,0.0013883449137210846,0.9645389914512634,0.33952656388282776,0.3621089458465576
14,1.0,0.002846336690708995,0.9616092443466187,0.22246891260147095,0.0002500000118743628,0.41117358207702637,1.0,0.000985917286016047,0.9692671298980713,0.32423996925354004,0.3428438603878021
15,1.0,0.0025994405150413513,0.9642387628555298,0.20150773227214813,0.0002500000118743628,0.38693758845329285,1.0,0.0011129535268992186,0.9692671298980713,0.355265349149704,0.3647829592227936
16,1.0,0.002303419401869178,0.9621351361274719,0.19729876518249512,0.0002500000118743628,0.3802177309989929,1.0,0.0009198811021633446,0.9125295281410217,0.44505056738853455,0.44530823826789856
17,1.0,0.0022117404732853174,0.962398111820221,0.18685965240001678,0.0002500000118743628,0.3660691976547241,1.0,0.0008009198936633766,0.9669030904769897,0.3495643138885498,0.3458169996738434
18,1.0,0.00204665120691061,0.9637128710746765,0.18312592804431915,0.0002500000118743628,0.3522196114063263,1.0,0.0009581269114278257,0.9692671298980713,0.29263901710510254,0.3258174657821655
19,1.0,0.0018043224699795246,0.962398111820221,0.1844748556613922,0.0002500000118743628,0.35474836826324463,1.0,0.0006497777649201453,0.9669030904769897,0.36960363388061523,0.3518204987049103
